global_idx,global_ts,beh_Value,beh_ts,beh_frame,neu_Value.ElementType,neu_Value.Size.Width,neu_Value.Size.Height,neu_Value.IsInvalid,neu_Value.Depth,neu_Value.Channels,neu_Value.Width,neu_Value.Height,neu_Value.WidthStep,neu_Value.ImageData,neu_Value.ChannelOfInterest,neu_Value.RegionOfInterest.X,neu_Value.RegionOfInterest.Y,neu_Value.RegionOfInterest.Width,neu_Value.RegionOfInterest.Height,neu_Value.IsClosed,neu_ts,neu_frame,beh_time_error_ms,neu_time_error_ms,beh_matched,neu_matched
0,2025-10-28 21:03:43.801088+00:00,,,,0.0,608.0,608.0,False,U8,1.0,608.0,608.0,608.0,796913712.0,0.0,0.0,0.0,608.0,608.0,False,2025-10-28 21:03:43.801088+00:00,0.0,,0.0,False,True
1,2025-10-28 21:03:43.834421333+00:00,,,,0.0,608.0,608.0,False,U8,1.0,608.0,608.0,608.0,540884384.0,0.0,0.0,0.0,608.0,608.0,False,2025-10-28 21:03:43.828211200+00:00,1.0,,-6.210133,False,True
2,2025-10-28 21:03:43.867754666+00:00,,,,0.0,608.0,608.0,False,U8,1.0,608.0,608.0,608.0,944128048.0,0.0,0.0,0.0,608.0,608.0,False,2025-10-28 21:03:43.860979200+00:00,2.0,,-6.775466,False,True
3,2025-10-28 21:03:43.901087999+00:00,,,,0.0,608.0,608.0,False,U8,1.0,608.0,608.0,608.0,793443504.0,0.0,0.0,0.0,608.0,608.0,False,2025-10-28 21:03:43.894400+00:00,3.0,,-6.687999,False,True
4,2025-10-28 21:03:43.934421332+00:00,,,,0.0,608.0,608.0,False,U8,1.0,608.0,608.0,608.0,947069120.0,0.0,0.0,0.0,608.0,608.0,False,2025-10-28 21:03:43.927180800+00:00,4.0,,-7.240532,False,True
5,2025-10-28 21:03:43.967754665+00:00,,,,0.0,608.0,608.0,False,U8,1.0,608.0,608.0,608.0,948178240.0,0.0,0.0,0.0,608.0,608.0,False,2025-10-28 21:03:43.960332800+00:00,5.0,,-7.4218649999999995,False,True
6,2025-10-28 21:03:44.001087998+00:00,,,,0.0,608.0,608.0,False,U8,1.0,608.0,608.0,608.0,947438848.0,0.0,0.0,0.0,608.0,608.0,False,2025-10-28 21:03:43.993779200+00:00,6.0,,-7.308798,False,True
7,2025-10-28 21:03:44.034421331+00:00,,,,0.0,608.0,608.0,False,U8,1.0,608.0,608.0,608.0,950426768.0,0.0,0.0,0.0,608.0,608.0,False,2025-10-28 21:03:44.026483200+00:00,7.0,,-7.938130999999999,False,True
8,2025-10-28 21:03:44.067754664+00:00,0.0,2025-10-28 21:03:44.056153600+00:00,0.0,0.0,608.0,608.0,False,U8,1.0,608.0,608.0,608.0,948947984.0,0.0,0.0,0.0,608.0,608.0,False,2025-10-28 21:03:44.059724800+00:00,8.0,-11.601064,-8.029864,True,True
9,2025-10-28 21:03:44.101087997+00:00,1.0,2025-10-28 21:03:44.089843200+00:00,1.0,0.0,608.0,608.0,False,U8,1.0,608.0,608.0,608.0,950423600.0,0.0,0.0,0.0,608.0,608.0,False,2025-10-28 21:03:44.092838400+00:00,9.0,-11.244797,-8.249597,True,True
